name,artistName,release_date,popularity,duration_ms
トリセツ,Kana Nishino,2016-07-15,0,257253
スピカ,Aimer,2016-05-11,0,308413
Best Friend,Kana Nishino,2013-09-04,0,319840
Brave Shine,Aimer,2015-07-29,0,233493
眠りの森,Aimer,2014-06-25,0,273360
Through My Blood <AM>,Aimer,2016-05-11,0,241533
Distance,Kana Nishino,2013-09-04,0,226600
Passionfruit,Drake,2017-03-18,0,298940
HUMBLE.,Kendrick Lamar,2017-03-31,1,177604
Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,76,212459
Me Rehúso,Danny Ocean,2016-09-16,0,205741
Tunnel Vision,Kodak Black,2017-02-17,50,268186
Portland,Drake,2017-03-18,2,236614
"How Far I'll Go - From ""Moana""",Alessia Cara,2016-10-28,0,175517
Why Can't We Be Friends?,War,1994-10-18,23,228333
FEAR.,Kendrick Lamar,2017-04-14,0,460573
Sign of the Times,Harry Styles,2017-04-07,1,340706
Goofy's Trial,Pink Guy,2017-01-04,36,166402
Rice Balls,Pink Guy,2017-01-04,45,196173
Why Can't We Be Friends,War,1975-01-01,61,230106
Flowers,In Love With a Ghost,2017-10-23,60,252121
Everybody Dances Except Me,In Love With a Ghost,2016-11-15,29,91200
"Let's Walk Across This Forest, I Can Feel Everything Being Real Again",In Love With a Ghost,2017,43,139807
I Think We Should Break Up,In Love With a Ghost,2016-11-15,25,111157
We'll Be Together,In Love With a Ghost,2016-11-15,27,234666
Lapis,In Love With a Ghost,2016-11-15,33,56528
Thoughts,In Love With a Ghost,2016-11-15,40,132075
Healing,In Love With a Ghost,2017,38,247484
We've Never Met but Can We Have a Cup of Coffee or Something,In Love With a Ghost,2017-10-23,55,199603
When You Think About Her and Your Brain Says No Don't Do That,In Love With a Ghost,2016-11-15,34,166400
Good Morning Qt,In Love With a Ghost,2016-11-15,28,78720
I Just Loved You (feat. Tomppabeats & Oiseaubizarre),In Love With a Ghost,2016-11-15,38,114000
Goodbye Earth I'm Taking My Spaceship to Explore the Universe,In Love With a Ghost,2016-11-15,30,119172
Ghost,In Love With a Ghost,2013,0,172800
"I Was Feeling Down, I Found a Nice Witch and We're Friends",In Love With a Ghost,2017,47,230243
I Thought We Were Lovers (feat. Basil),In Love With a Ghost,2016-11-15,37,157518
I Need a Cup of Coffee and Some Bread to Wake Up,In Love With a Ghost,2016-11-15,51,60000
Welcome At Qwerty and Azerty's Place,In Love With a Ghost,2017,30,35631
Can I Be Your Internet Crush,In Love With a Ghost,2016-11-15,27,205090
I Don't Know and I Don't Want to Know,In Love With a Ghost,2016-11-15,25,186000
You and Me - Dancing,In Love With a Ghost,2013,0,216409
Am I a Girl? Am I a Boy? Do I Really Care?,In Love With a Ghost,2017,48,59480
Qwerty Enchanted The House and Now It's Attacking Us,In Love With a Ghost,2017,35,88685
I Know It's Not Easy but You're Not Alone Anymore,In Love With a Ghost,2017,40,142759
Sorry for Not Answering the Phone I'm Too Busy Trying to Fly Away,In Love With a Ghost,2017-10-23,48,132413
Chilling At Nemu's Place,In Love With a Ghost,2017,48,46315
Comet,In Love With a Ghost,2016-11-15,28,138556
I Hope You Don't Mind If I Come Here to Cry,In Love With a Ghost,2017,41,51069
We Were Friends,In Love With a Ghost,2017-10-23,42,155428
Don't Cry Kate,In Love With a Ghost,2016-11-15,28,192000
Introduction,In Love With a Ghost,2017,32,36388
12:05am,The Deli,2016-10-17,30,159831
Marble Soda,Shawn Wasabi,2015-06-22,0,161919
Weekend,Gyvus,2015-11-30,0,163764
Grass,baaskaT,2016-11-07,0,96923
Her,eery,2016-01-01,0,123207
azalea,eevee,2016-12-01,0,115299
1:47am,The Deli,2016-10-17,36,140237
Snowfall,Idealism,2016-12-19,0,176500
Forget,Pogo,2015-06-11,61,164703
Again,Wun Two,2014-12-19,0,143132
We Can't Be Friends,Dream Koala,2012-08-15,0,208451
Tyner,The Deli,2016-10-17,28,163281
Lonely,Idealism,2017-02-13,0,119901
Souvenirs,Dream Koala,2012-09-01,0,187392
Tell Me - Qrion Remix,Giraffage,2015-08-14,0,259404
Morning Ritual,L'Indécis,2016-02-15,0,92259
just ask,weird inside,2015-05-22,45,173846
Finding Parking,Joey Pecoraro,2017-02-22,0,172500
No Promises (feat. Demi Lovato),Cheat Codes,2017-03-31,67,223503
Starving,Hailee Steinfeld,2016-07-22,0,181880
Anganku Anganmu,Raisa,2017-03-30,48,271467
Slow Hands,Niall Horan,2017-05-04,0,188174
First Time,Kygo,2017-04-28,68,193511
Good Life (with G-Eazy & Kehlani),G-Eazy,2017-03-17,66,225520
All Good,Dipha Barus,2017-03-08,48,193160
TG4M,Zara Larsson,2017-03-17,49,172893
I'm the One,DJ Khaled,2017-04-27,1,288876
Stryman,baaskaT,2017-03-15,0,117735
I'm sorry (feat. shiloh),Swell,2016-01-20,0,157524
Burnt Rice (feat. Yung GEMMY),Shawn Wasabi,2015-12-04,51,120750
Fuck That Bitch,Gangsta Rap,2007-05-15,30,186540
In Da Club,50 Cent,2003-02-06,85,193466
Black Beatles,Rae Sremmurd,2016-08-12,0,291866
Black Beatles - Rock,Our Last Night,2017-01-17,42,241773
"Nothing but a ""G"" Thang",Sean C. Johnson,2015-03-10,24,223733
Smoke Weed Everyday (feat. Diezel),Trick Trick,2013-01-08,41,229434
Turun Tetapi Naik,Jeffrey Rachmat,2004,0,3053106
Turun Naik Oles Trus,Fresh Boy,2017-05-02,0,392751
Seperti Babi,The Panasdalam,2014-01-09,32,186053
Bitter Sweet Symphony,The Verve,1997-09-29,0,358426
X Gon' Give It To Ya,DMX,2010-01-01,0,219253
Jump Around,House Of Pain,1992,3,214946
Gangsta's Paradise (feat. L.V.),Coolio,1995-11-07,5,241933
Lose Yourself,Eminem,2014-11-24,49,320573
Drop It Like It's Hot,Snoop Dogg,2004-01-01,0,266066
Dat $tick,Rich Brian,2016-02-17,0,126768
Dat $tick (Remix) (feat. Ghostface Killah & Pouya),Rich Brian,2016-10-13,43,197812
Who That Be,Rich Brian,2016-08-09,48,134879
Who That Be (Josh Pan & West1ne Remix),Rich Brian,2016-12-06,28,172962
Gospel,Rich Brian,2017-05-12,2,173294
Rintihan Kuntilanak,The Panasdalam,2014-01-09,23,283160
流星雨,F4,2001-08-27,55,276600
Ask For More,F4,2006-12-18,35,239613
Suka Dukaku Mencari Lala,The Panasdalam,2014-01-09,19,232560
Pulang Mabok,The Panasdalam,2014-01-09,30,196360
Djatinangor,The Panasdalam,2014-01-09,41,190040
Suci Dalam Debu,Iklim,1997-04-12,55,286973
Inikah Cinta,Razis Ismail,2015-12-18,0,260546
Lepaskan Diriku,J-Rocks,2005-05-16,57,236960
Cinderella,Radja,2009,0,212137
Tak Bisakah,Peterpan,2008-01-01,23,214480
Manusia Bodoh,Ada Band,2004-10-28,0,257927
Piknik 72,Naif,2014-07-03,46,204653
Jikalau,Naif,2014-07-03,68,186933
Air & Api,Naif,2014-07-03,71,197813
Cinta Ini Membunuhku,D’MASIV,2008-01-01,22,243706
Cinta Ini Membunuhku,D’MASIV,2016-01-01,64,243706
Rindu 1/2 Mati,D’MASIV,2016-01-01,24,279880
Sedang Ingin Bercinta,Dewa 19,2016-09-27,0,240001
Lelaki Pencemburu,Dewa 19,2016-09-27,0,256162
Dewi,Dewa 19,2016-09-27,0,261363
Angin,Dewa 19,2007,0,252029
Asal Kau Bahagia,Armada,2017-02-03,0,245067
Mau Dibawa Kemana,Armada,2009-07-23,65,239573
Hijrah Ke London,The Changcuters,2008-02-08,62,205706
Pupus,Dewa,2002-04-05,71,305906
Elang,Dewa 19,1999-10-26,58,261093
Racun Dunia,The Changcuters,2008-02-08,64,274466
Api & Lentera,Barasuara,2015-10-16,0,263637
Bahas Bahasa,Barasuara,2015-10-16,0,268854
Sepanjang Usia,Kerispatih,2013-09-23,0,204747
Mengenangmu,Kerispatih,2007-01-15,0,278619
Sebelah Mata,Efek Rumah Kaca,2007,58,269757
Kenakalan Remaja di Era Informatika,Efek Rumah Kaca,2008,44,261248
Erwin,The Panasdalam,2014-01-09,22,270066
Glxy High,Ajmw,2015-08-01,23,152553
Jovial,Limes,2016-11-20,1,142727
Asos Model Crush,dné,2016-11-18,0,147875
monochrome,Nohidea,2017-02-20,0,128625
Flower Dance,DJ Okawari,2010-10-20,0,265800
Tôzen,Gyvus,2016-02-08,0,170666
Bittersweet,baaskaT,2016-11-07,0,86000
Lovely Rita,Birocratic,2016-12-19,0,179200
Feels,Giraffage,2013-02-12,45,190758
Teen Pregnancy,Blank Banshee,2012-09-01,47,177297
Crystal,In Love With a Ghost,2014-06-23,13,171182
haiku,Nohidea,2017-02-05,0,108665
Wanita,The Panasdalam,2014-01-09,24,260066
My Way,Frank Sinatra,2015-04-17,0,274933
Fly Me To The Moon,Frank Sinatra,1962-12-10,0,147000
I've Got You Under My Skin,Frank Sinatra,2015-04-17,0,222146
The Way You Look Tonight,Frank Sinatra,2015-04-17,0,201200
Animals - Original Mix,Martin Garrix,2014-07-08,0,304228
Animals - Radio Edit,Martin Garrix,2014-07-08,0,176117
Animals - Isaac Remix,Martin Garrix,2014-07-08,0,256399
Bintang Kehidupan,Nike Ardilla,1990-02-06,22,266919
Desember,Efek Rumah Kaca,2007,58,256975
Cuma Manusia,Kerispatih,2005-06-29,0,294073
BUBBLE TEA,dark cat,2016-10-18,0,243375
Kites,Grynpyret,2016-12-06,0,205077
Ma Chouchoute,Snail's House,2015-06-18,0,188943
5:32pm,The Deli,2016-10-17,66,136914
Hydrate,SwuM,2016-03-01,0,120032
waon to ame,Idealism,2017-08-31,0,109913
apple_tree,Nohidea,2017-03-19,0,75555
Breeze,The Deli,2017-02-13,0,132000
Let Linger,Birocratic,2015-05-04,0,111000
Spicy Boyfriend,Shawn Wasabi,2017-02-14,40,178064
47 - Instrumental,emune,2017-04-01,0,121500
Grape Soda,Snail's House,2015-07-30,0,193488
Dark Side,Phoebe Ryan,2017-02-03,41,204600
Gone,M83,2004-08-25,5,367480
People Who Died,The Jim Carroll Band,1980,0,298613
Sound & Color,Alabama Shakes,2015-04-20,0,182466
Hand Covers Bruise,Trent Reznor and Atticus Ross,2010-09-28,53,258637
Loss For Words - Vector Lovers Remix,Solvent,2010-04-20,0,313269
Awful Game,Milosh,2008-09-28,15,267973
Weak,AJR,2017-06-30,66,201160
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,2017-07-21,69,190427
My Only One,Mocca,2004-09-05,43,193560
