ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-01-28T06:02:44Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",2045845,JP,,,,,65: Honest Communication in Business Development with Jake DiGennaro,GameDev Loadout | A Game Developer Podcast,spotify:episode:5qFYgCriRYh3ovoiC9lCkC,appload,trackdone,False,,False,1580189317349,False
2020-01-28T06:49:38Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",2765219,JP,,,,,110 Practicing Voice Over Involves 90 Percent Interpretation with Ivy Dupler,GameDev Loadout | A Game Developer Podcast,spotify:episode:2WDZxzJWC6FnuEGXKQUYtV,trackdone,trackdone,False,,False,1580191363144,False
2020-01-28T10:12:59Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",361692,JP,,,,,109 You Cannot Talk About Your Game Enough with Nic Rutherford,GameDev Loadout | A Game Developer Podcast,spotify:episode:3BmZRUVIfHXmSlhj5jdGPV,trackdone,logout,False,,False,1580194176754,False
2020-01-28T10:44:58Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",1913165,JP,,,,,109 You Cannot Talk About Your Game Enough with Nic Rutherford,GameDev Loadout | A Game Developer Podcast,spotify:episode:3BmZRUVIfHXmSlhj5jdGPV,appload,trackdone,False,,False,1580206383930,False
2020-01-28T16:31:00Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",1896948,JP,,,,,108 Spend Less Time Developing Your Games with Xalavier Nelson Jr.,GameDev Loadout | A Game Developer Podcast,spotify:episode:076BNZfecLX6YpV98m4kWI,trackdone,logout,False,,False,1580208297189,False
2020-01-28T16:40:31Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",374031,JP,,,,,108 Spend Less Time Developing Your Games with Xalavier Nelson Jr.,GameDev Loadout | A Game Developer Podcast,spotify:episode:076BNZfecLX6YpV98m4kWI,appload,unexpected-exit-while-paused,False,,False,1580229061121,False
2020-01-29T05:24:11Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",8067,JP,,,,,108 Spend Less Time Developing Your Games with Xalavier Nelson Jr.,GameDev Loadout | A Game Developer Podcast,spotify:episode:076BNZfecLX6YpV98m4kWI,appload,fwdbtn,False,,False,1580275441796,False
2020-01-29T05:29:48Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",336286,JP,,,,,Happy Holidays Rerun 66 JUST DO IT! with Henrique Olifiers,GameDev Loadout | A Game Developer Podcast,spotify:episode:48n2CT0TBVvITlX35MqwLi,fwdbtn,endplay,False,,False,1580275450452,False
2020-01-29T10:33:02Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",528611,JP,,,,,How to Overcome Imposter Syndrome and Gain the Confidence to Get Started Today with Jonathan Jennings 99,GameDev Loadout | A Game Developer Podcast,spotify:episode:1crqbe2NtI21BnYwfUkxXb,clickrow,logout,False,,False,1580275787356,False
2020-01-29T18:01:19Z,Windows 10 (10.0.18362; x64),2409960,JP,,,,,How to Overcome Imposter Syndrome and Gain the Confidence to Get Started Today with Jonathan Jennings 99,GameDev Loadout | A Game Developer Podcast,spotify:episode:1crqbe2NtI21BnYwfUkxXb,remote,trackdone,False,,False,1580295013003,False
2020-01-29T18:01:21Z,Windows 10 (10.0.18362; x64),426,JP,,,,,110 Practicing Voice Over Involves 90 Percent Interpretation with Ivy Dupler,GameDev Loadout | A Game Developer Podcast,spotify:episode:2WDZxzJWC6FnuEGXKQUYtV,trackdone,trackdone,False,,False,1580320878474,False
2020-01-29T18:01:21Z,Windows 10 (10.0.18362; x64),459,JP,,,,,109 You Cannot Talk About Your Game Enough with Nic Rutherford,GameDev Loadout | A Game Developer Podcast,spotify:episode:3BmZRUVIfHXmSlhj5jdGPV,trackdone,trackdone,False,,False,1580320879548,False
2020-01-29T18:10:11Z,Windows 10 (10.0.18362; x64),529546,JP,,,,,108 Spend Less Time Developing Your Games with Xalavier Nelson Jr.,GameDev Loadout | A Game Developer Podcast,spotify:episode:076BNZfecLX6YpV98m4kWI,trackdone,trackdone,False,,False,1580320880356,False
2020-01-29T18:57:18Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",186862,JP,,,,,How to Overcome Imposter Syndrome and Gain the Confidence to Get Started Today with Jonathan Jennings 99,GameDev Loadout | A Game Developer Podcast,spotify:episode:1crqbe2NtI21BnYwfUkxXb,appload,logout,False,,False,1580293980347,False
2020-01-29T18:57:31Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",11092,JP,,,,,How to Overcome Imposter Syndrome and Gain the Confidence to Get Started Today with Jonathan Jennings 99,GameDev Loadout | A Game Developer Podcast,spotify:episode:1crqbe2NtI21BnYwfUkxXb,appload,fwdbtn,False,,False,1580324236607,False
2020-01-29T18:57:32Z,Windows 10 (10.0.18362; x64),38156,JP,,,,,Happy Holidays Rerun 66 JUST DO IT! with Henrique Olifiers,GameDev Loadout | A Game Developer Podcast,spotify:episode:48n2CT0TBVvITlX35MqwLi,trackdone,remote,False,,False,1580321410433,False
2020-01-29T18:57:33Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",3556,JP,,,,,110 Practicing Voice Over Involves 90 Percent Interpretation with Ivy Dupler,GameDev Loadout | A Game Developer Podcast,spotify:episode:2WDZxzJWC6FnuEGXKQUYtV,fwdbtn,fwdbtn,False,,False,1580324248133,False
2020-01-29T18:57:35Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",2119,JP,,,,,109 You Cannot Talk About Your Game Enough with Nic Rutherford,GameDev Loadout | A Game Developer Podcast,spotify:episode:3BmZRUVIfHXmSlhj5jdGPV,fwdbtn,fwdbtn,False,,False,1580324252135,False
2020-01-29T18:57:38Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",1875,JP,,,,,108 Spend Less Time Developing Your Games with Xalavier Nelson Jr.,GameDev Loadout | A Game Developer Podcast,spotify:episode:076BNZfecLX6YpV98m4kWI,fwdbtn,fwdbtn,False,,False,1580324254382,False
2020-01-29T18:57:39Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",908,JP,,,,,Happy Holidays Rerun 66 JUST DO IT! with Henrique Olifiers,GameDev Loadout | A Game Developer Podcast,spotify:episode:48n2CT0TBVvITlX35MqwLi,fwdbtn,fwdbtn,False,,False,1580324256670,False
2020-01-30T05:02:19Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",392278,JP,,,,,107 Learn In-Demand Skills that Companies Need to Get Hired with Jordan Blackman,GameDev Loadout | A Game Developer Podcast,spotify:episode:6A3bbfIIkHMfq5SS2KRNPm,fwdbtn,logout,False,,False,1580324258043,False
2020-01-30T07:23:12Z,Windows 10 (10.0.18362; x64; AppX),1566760,JP,,,,,65: Honest Communication in Business Development with Jake DiGennaro,GameDev Loadout | A Game Developer Podcast,spotify:episode:5qFYgCriRYh3ovoiC9lCkC,remote,endplay,False,,False,1580186119185,False
2020-01-30T07:54:55Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",663289,JP,,,,,107 Learn In-Demand Skills that Companies Need to Get Hired with Jordan Blackman,GameDev Loadout | A Game Developer Podcast,spotify:episode:6A3bbfIIkHMfq5SS2KRNPm,appload,unexpected-exit-while-paused,False,,False,1580360539470,False
2020-01-31T07:58:20Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",255244,JP,,,,,107 Learn In-Demand Skills that Companies Need to Get Hired with Jordan Blackman,GameDev Loadout | A Game Developer Podcast,spotify:episode:6A3bbfIIkHMfq5SS2KRNPm,appload,logout,False,,False,1580370894850,False
2020-02-04T22:14:19Z,Windows 10 (10.0.18362; x64),2830107,JP,,,,,91: How to Showcase Your Game at Events with Kelly Wallick from IndieMEGABOOTH,GameDev Loadout | A Game Developer Podcast,spotify:episode:7j8UGSMQfgq6uNj3XUa36F,clickrow,trackdone,False,,False,1580850519249,False
2020-02-04T22:28:43Z,Windows 10 (10.0.18362; x64),711963,JP,,,,,90: Seek Comfortability to Increase Productivity with Katharine Neil ,GameDev Loadout | A Game Developer Podcast,spotify:episode:1cJpeTMaekE2VwiLHdTNHy,trackdone,remote,False,,False,1580854457386,False
2020-04-14T08:26:05Z,Windows 10 (10.0.18363; x64),12550,JP,,,,,"Episode 1: Tokyo 2019-2020 Episode 38 ""Case of the Costume Incident""",Playroom: Unpacking Terrace House,spotify:episode:6tjQCszcjAJbilcdnxa7g2,clickrow,endplay,False,,False,1586845109205,False
2020-04-15T07:49:59Z,Windows 10 (10.0.18363; x64),115690,JP,,,,,Computer Vision is Not Perfect,Data Skeptic,spotify:episode:29HimCC5SOdWbtU3BjQVIP,remote,endplay,False,,False,1586924792878,False
2020-04-15T07:50:20Z,Windows 10 (10.0.18363; x64),20620,JP,,,,,Uncertainty Representations,Data Skeptic,spotify:episode:6FWmo1JIgjL3s8QNAVHn8n,clickrow,endplay,False,,False,1586936992445,False
2020-04-15T07:50:47Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",569205,JP,,,,,Computer Vision is Not Perfect,Data Skeptic,spotify:episode:29HimCC5SOdWbtU3BjQVIP,clickrow,logout,False,,False,1586924153194,False
2020-04-15T07:57:22Z,Windows 10 (10.0.18363; x64),285160,JP,,,,,Algorithmic Fairness,Data Skeptic,spotify:episode:3nRBib5wwunL1R8cBWv2o8,clickrow,remote,False,,False,1586937013735,False
2020-04-15T08:37:55Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",2398756,JP,,,,,Algorithmic Fairness,Data Skeptic,spotify:episode:3nRBib5wwunL1R8cBWv2o8,remote,endplay,False,,False,1586937425545,False
2020-05-11T01:58:36Z,Windows 10 (10.0.18362; x64),0,JP,,,,,AI in Games,Data Skeptic,spotify:episode:7Kns3euBMVh8vgBDbZn4bx,clickrow,trackdone,False,,False,1589162313323,False
2020-05-11T01:58:39Z,Windows 10 (10.0.18362; x64),182,JP,,,,,[MINI] Structured and Unstructured Data,Data Skeptic,spotify:episode:3fiNnwy4bpBlVc6VPofypm,trackdone,trackdone,False,,False,1589162314345,False
2020-05-11T01:58:42Z,Windows 10 (10.0.18362; x64),522,JP,,,,,Measuring the Influence of Fashion Designers,Data Skeptic,spotify:episode:6DDm4xScXeGY2LFSvoniHQ,trackdone,trackdone,False,,False,1589162318121,False
2020-05-11T01:58:43Z,Windows 10 (10.0.18362; x64),208,JP,,,,,[MINI] PageRank,Data Skeptic,spotify:episode:40QYHuFX39b7XrEMh0GEv3,trackdone,trackdone,False,,False,1589162320288,False
2020-05-11T01:58:45Z,Windows 10 (10.0.18362; x64),417,JP,,,,,[MINI] k-Nearest Neighbors,Data Skeptic,spotify:episode:7DhN585yAncBTgqARGF5ds,trackdone,trackdone,False,,False,1589162321878,False
2020-05-11T01:58:51Z,Windows 10 (10.0.18362; x64),5102,JP,,,,,Algorithmic Fairness,Data Skeptic,spotify:episode:3nRBib5wwunL1R8cBWv2o8,trackdone,endplay,False,,False,1589162323532,False
2020-05-11T02:09:23Z,Windows 10 (10.0.18362; x64),630000,JP,,,,,Game Science Dice with Louis Zocchi,Data Skeptic,spotify:episode:6OjYTrB8WRJmzRCx893BZy,clickrow,endplay,False,,False,1589162329497,False
2020-06-01T06:57:20Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",86907,JP,,,,,Visualizing Uncertainty,Data Skeptic,spotify:episode:1Jx0bLLma5xm46wTdt5M0l,clickrow,logout,False,,False,1590984770381,False
