danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.136,0.159,0,-15.767,0,0.0452,0.985,0.75,0.065,0.147,79.801,4
0.231,0.694,10,-5.235,0,0.0514,0.00443,0.068,0.366,0.0762,125.317,4
0.475,0.824,8,-5.019,1,0.0622,0.12,0.0,0.389,0.503,143.969,4
0.364,0.844,0,-6.442,1,0.0479,0.0571,0.0,0.121,0.593,170.114,4
0.656,0.941,9,-3.48,1,0.0435,0.225,0.0,0.235,0.565,123.015,4
0.613,0.727,2,-5.624,1,0.0227,0.277,0.0,0.354,0.788,96.01,4
0.596,0.758,8,-3.717,1,0.0315,0.00739,0.0,0.0409,0.779,114.941,4
0.655,0.669,3,-4.037,1,0.0294,0.589,0.0,0.0796,0.389,117.061,4
0.366,0.893,5,-5.913,0,0.091,0.003,6.35e-06,0.141,0.471,171.064,4
0.537,0.597,0,-6.708,1,0.0282,0.0341,0.0,0.0812,0.34,125.97,4
0.302,0.904,11,-4.606,1,0.0563,0.0114,1.51e-05,0.564,0.559,96.002,3
0.566,0.804,7,-3.387,1,0.0359,0.0247,0.0,0.13,0.608,139.996,4
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
0.905,0.596,1,-7.496,0,0.118,0.000339,2.05e-05,0.0897,0.422,149.996,4
0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,4
0.746,0.794,1,-6.331,1,0.0698,0.0258,0.0,0.0497,0.447,104.827,4
0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4
0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078,4
0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,4
0.774,0.621,10,-11.541,1,0.0397,0.192,0.0,0.122,0.964,92.657,4
0.586,0.474,10,-7.063,0,0.274,0.616,1.04e-05,0.613,0.455,149.967,4
0.518,0.575,5,-4.616,1,0.0302,0.0259,0.0,0.109,0.209,120.019,4
0.737,0.276,8,-19.635,1,0.776,0.536,0.0,0.348,0.588,84.601,5
0.717,0.587,7,-8.97,1,0.368,0.0795,1.87e-05,0.192,0.336,112.44,5
0.776,0.68,10,-10.088,1,0.0389,0.179,0.0,0.483,0.962,92.481,4
0.641,0.24,8,-19.107,1,0.047,0.979,0.866,0.234,0.32,99.02,4
0.557,0.38,10,-13.885,0,0.135,0.713,0.0413,0.0691,0.0399,99.97,4
0.733,0.533,7,-8.996,0,0.0576,0.873,0.792,0.109,0.783,157.966,4
0.412,0.383,8,-11.299,1,0.0715,0.864,0.000898,0.339,0.326,94.928,4
0.596,0.58,7,-9.736,1,0.533,0.364,0.00204,0.164,0.747,180.027,4
0.525,0.31,2,-21.512,0,0.0563,0.809,0.00435,0.132,0.831,170.204,4
0.71,0.174,9,-16.03,0,0.139,0.292,0.867,0.0658,0.558,160.014,4
0.721,0.6,11,-13.97,0,0.178,0.908,0.905,0.799,0.791,96.974,4
0.349,0.214,6,-18.295,0,0.0538,0.926,0.121,0.321,0.236,201.128,4
0.379,0.773,5,-11.76,1,0.352,0.000672,0.247,0.265,0.158,76.044,4
0.501,0.387,0,-18.381,1,0.0904,0.567,0.0639,0.408,0.254,120.758,4
0.49,0.377,3,-15.059,0,0.244,0.942,0.000214,0.115,0.544,87.459,4
0.689,0.712,8,-10.791,1,0.294,0.472,0.0902,0.473,0.643,144.957,4
0.598,0.622,0,-4.006,1,0.34,0.414,0.0,0.236,0.292,99.999,4
0.585,0.375,1,-13.428,1,0.116,0.633,0.848,0.159,0.375,85.459,4
0.748,0.479,4,-10.947,1,0.0368,0.877,0.685,0.151,0.328,109.758,4
0.763,0.243,5,-17.104,0,0.105,0.976,0.928,0.108,0.32,95.933,4
0.841,0.942,11,-10.342,0,0.0694,0.32,0.147,0.105,0.976,135.065,4
0.734,0.456,11,-10.182,0,0.148,0.799,6.5e-05,0.0902,0.249,110.027,4
0.489,0.346,5,-12.712,1,0.0542,0.943,0.949,0.092,0.336,80.172,4
0.599,0.765,0,-5.948,1,0.101,0.358,0.007,0.115,0.315,89.939,4
0.928,0.433,0,-12.604,1,0.0638,0.543,0.323,0.0904,0.757,104.981,4
0.807,0.581,11,-12.349,0,0.144,0.687,0.888,0.0955,0.73,129.969,4
0.728,0.504,0,-12.355,1,0.042,0.946,0.928,0.202,0.547,111.015,4
